,,Data for figure 3C:,,,,,,,,,Data for S3B Fig:,,,,,,,,,Data for S3C Fig:,,,,,,,,,,,,,Data for S3A Fig:,,,,,,,,,Data for S3B Fig:,,,,,,,,,Data for S3C Fig:,,,,,,,,,,,,,Data for S3A Fig:,,,,,,,,,Data for S3B Fig:,,,,,,,,,Data for S3C Fig:,,,,,,,,,,,,,Data for  S5B Fig:,,,,,,,,,,,,Data for  S5B Fig:,,,,,,,,,
,Pi:,7.3mM,0.06mM Pi,,,,,,,,7.3mM,0.2mM Pi,,,,,,,,7.3mM,0.5mM Pi,,,,,,,,,,,Pi:,7.3mM,0.06mM Pi,,,,,,,,7.3mM,0.2mM Pi,,,,,,,,7.3mM,0.5mM Pi,,,,,,,,,,,Pi:,7.3mM,0.06mM Pi,,,,,,,,7.3mM,0.2mM Pi,,,,,,,,7.3mM,0.5mM Pi,,,,,,,,,,,Pi:,7.3mM,0.2mM Pi,,,,,,,,,,Pi:,7.3mM,0.2mM Pi,,,,,,,,
,Time (h),0,1,2,3.5,5,6.5,8,9.5,24.67,0,1,2,3.5,5,6.5,8,9.5,24.67,0,1,2,3.5,5,6.5,8,9.5,24.67,,,,Time (h),0,1,2,3.5,5,6.5,8,9.5,24.67,0,1,2,3.5,5,6.5,8,9.5,24.67,0,1,2,3.5,5,6.5,8,9.5,24.67,,,,Time (h),0,1,2,3.5,5,6.5,8,9.5,24.67,0,1,2,3.5,5,6.5,8,9.5,24.67,0,1,2,3.5,5,6.5,8,9.5,24.67,,,,Time (h),0,1,2,3.5,5,6.5,8,9.5,24.67,,,Time (h),0,1,2,3.5,5,6.5,8,9.5,24.67,
,PHM2,2.378705731,2.433065896,2.366392185,2.353879906,2.514821954,2.558382592,2.605846252,2.711747491,2.61469586,2.378705731,2.447769637,2.60546208,2.411461124,2.420886987,2.540162081,2.596277917,2.575611488,2.407648493,2.378705731,2.386553855,2.640376327,2.385684959,2.473397341,2.357029436,2.303494207,2.449411075,2.05684131,,,,PHM2,1.749973277,1.992146348,2.122102115,1.922468998,2.224025688,2.566723759,2.575940007,2.384299445,2.344309069,1.749973277,2.107591488,2.122807741,2.01885704,2.014707656,1.9633262,2.126919037,2.392079787,1.836426812,1.749973277,2.000209233,2.120028709,2.094318365,1.736997109,1.604456252,1.832425836,1.840544569,1.169464217,,,,PHM2,-1.955028946,-0.685491643,-1.655780407,-1.557011452,-1.153720195,-1.461193223,-1.758756124,-1.958037429,-2.331524491,-1.955028946,-1.56747173,-2.906000185,-1.790792121,-1.423653546,-1.86308147,-1.310879196,-1.353108364,-1.527984047,-1.955028946,-1.714640337,-1.733772432,-2.351182202,-1.969389793,-2.264964763,-1.545627764,-1.782169826,-1.912030648,,,,PHM2,-0.018020499,0.324891223,0.070713238,0.587854438,0.426580323,0.665895323,1.992028165,2.039525937,1.441442829,,,PHM2,0.589133654,1.17793544,0.726366173,0.813348136,0.892772088,0.617630354,0.295299201,2.213006107,0.222206775,
,PHO12,3.106085531,3.33744613,3.28929963,3.301118613,3.3871935,3.416934012,3.431560339,3.61637608,3.77552076,3.106085531,3.250261447,3.198572637,3.131861417,3.215580421,3.25776841,3.213069075,3.305795535,2.823283114,3.106085531,3.380628051,3.491751784,3.389815086,3.330048769,3.186114932,3.106356496,2.952653673,2.42134778,,,,PHO12,1.655909297,2.07865158,2.14537392,2.035258351,1.809662901,2.902366579,2.783039219,2.809675076,2.934423282,1.655909297,1.949204488,1.959936982,2.076070138,1.923679884,1.791601481,1.760052758,2.30653742,1.639340159,1.655909297,1.954019351,1.746853095,1.895994482,2.117858002,1.9691048,1.875877624,1.634349996,0.93395052,,,,PHO12,-2.529721728,-0.565886257,NaN,-4.745273282,NaN,-4.539198217,NaN,NaN,-4.335528723,-2.529721728,-4.54594105,NaN,NaN,NaN,NaN,-4.64503221,-4.28029718,-3.724633434,-2.529721728,-4.40498432,NaN,NaN,NaN,NaN,NaN,-4.601749379,-4.231536887,,,,PHO12,-0.771256088,0.258844494,-0.269462937,0.195153633,0.139615353,0.470032253,1.119278928,2.041013711,1.055190853,,,PHO12,1.067533504,1.615743441,0.867262737,1.086145244,1.286762431,1.131754303,0.700057894,2.539670344,0.140468184,
,PHO84,1.876575265,2.238249719,2.168914209,2.083946943,2.161781287,2.298318308,2.514203162,2.71567435,3.005454663,1.876575265,2.317865973,2.014717226,2.026806879,2.094420013,2.098473037,2.240952166,2.610453237,2.333861433,1.876575265,2.173479649,2.134135806,2.141845855,1.966658463,1.974225848,1.962886765,2.094437673,2.33883883,,,,PHO84,1.12080086,1.290370182,1.136497644,1.43897066,1.2577717,2.015428177,2.584365151,2.570229896,2.353956757,1.12080086,1.389873778,1.513650851,1.190764425,1.350406196,1.306583788,1.623868245,2.123263028,1.910239057,1.12080086,1.814951087,1.357879925,1.318965753,1.12503577,0.970584151,1.166392855,1.392120255,1.406450422,,,,PHO84,-2.098314822,-0.511790166,-1.566143194,-1.758714014,-1.631990319,-1.363882083,-1.442610381,-1.396779188,-0.863375655,-2.098314822,-1.906677816,-1.300347825,-1.322643285,-1.531189397,-0.939253151,-1.454165072,-1.683325667,-1.059835211,-2.098314822,-0.964348272,-1.172514192,-1.11749862,-1.086203458,-1.36385652,-1.34878095,-0.773452609,-0.180847407,,,,PHO84,0.899931254,1.014555195,0.88251494,0.92084369,1.065505057,1.036080905,1.337417107,1.78464837,1.892912924,,,PHO84,1.278051169,1.428313412,1.251098537,1.167968026,1.244217967,1.406819199,1.48254721,1.764280259,-0.229474041,
,PHM4,1.741627446,1.825638957,1.975501944,1.905673813,1.941566713,2.097389404,2.102049818,2.155292574,2.054442609,1.741627446,2.036269116,1.963302679,1.900966273,1.812292926,2.133841798,2.111530988,2.222379273,1.870254138,1.741627446,1.761116284,1.93835545,1.93373766,1.907157451,1.879648649,1.892497437,1.884101269,1.585815339,,,,PHM4,1.24559398,1.242214144,1.41403162,1.347382971,1.412253956,2.079145785,2.312247025,2.11446563,1.676814723,1.24559398,1.428693027,1.366186217,1.392062815,1.267350456,1.428272604,1.33709919,1.983571945,1.232167152,1.24559398,1.184013157,1.163792873,1.302214388,1.247595085,1.223027145,1.083655135,1.168291932,1.286434325,,,,PHM4,-1.523100298,-0.582798278,-1.260040066,-1.289559966,-0.96213892,-1.314972482,-1.049599188,-0.919572868,-1.218470614,-1.523100298,-1.00855743,-1.142395466,-1.157584039,-1.065351891,-1.017862986,-1.238031641,-1.154566588,-1.256232424,-1.523100298,-1.372499386,-1.043231175,-1.113646295,-1.47034695,-1.325510208,-0.951948046,-1.325993632,-1.125705853,,,,PHM4,-0.344487473,0.073640337,-0.319118921,0.18543861,0.169707429,0.133042635,1.295393892,1.732430034,1.151874793,,,PHM4,0.01855712,0.732515338,0.34726736,0.451815775,0.381655616,0.436869772,0.142735511,1.549608874,-0.488968089,
,PHO86,1.414303104,1.456342003,1.038774073,1.186828644,1.346205858,1.309906282,0.999994506,1.515048117,1.891511755,1.414303104,1.184114584,1.19446531,0.973732137,1.121900749,1.382285759,1.038431545,1.460968922,1.375979409,1.414303104,1.240761123,1.171718989,1.363469044,1.054407015,0.773952949,1.006983452,1.30088855,0.728273744,,,,PHO86,1.045285516,0.950167916,1.517319428,1.362512496,1.203136443,1.466639288,1.118089424,1.246362489,1.215813599,1.045285516,1.247854773,1.018679336,0.97981853,1.305795309,1.025207746,1.097799433,0.92435896,0.858949829,1.045285516,1.049083577,0.803796737,0.95516837,1.417726643,1.228947117,0.275912618,0.383899749,0.692754607,,,,PHO86,-0.536920792,-0.425929429,-0.20859119,-0.873849725,-0.57309663,-0.578006888,-0.466178852,-0.167960498,-0.278413155,-0.536920792,-0.777394799,0.054001747,-0.678787095,-0.095919829,-0.465321963,-0.355743019,-1.039469478,-1.600403592,-0.536920792,-0.524025477,0.056304499,-0.516711152,-0.249702191,-0.520691522,-0.608709445,-0.644169592,-0.759383638,,,,PHO86,0.142424882,0.467269897,-0.494690486,0.268306877,0.040334481,0.203908966,0.678204229,0.757812185,0.742772575,,,PHO86,0.034382088,0.398397834,0.031016277,0.175331414,0.295118866,0.243320467,0.028792603,0.993098949,-0.151215027,
,PHM3,2.060360202,2.2168013,2.098821457,2.206193969,2.179912107,2.226382927,2.243920089,2.256219822,2.450002045,2.060360202,2.114851921,2.14199789,2.033233149,1.990170051,2.171678202,2.157267774,2.342324425,2.165141215,2.060360202,1.922748078,2.178145258,2.105043892,1.977396114,2.088911489,2.211201631,2.121918409,1.893611476,,,,PHM3,1.508686037,1.223732989,1.564625143,1.476169278,1.258989678,1.91120274,2.244198193,2.191055117,1.987544612,1.508686037,1.461336141,1.632496699,1.760620033,1.436780621,1.530277447,1.754911719,2.152341063,1.500055407,1.508686037,1.69858633,1.878221578,1.545237761,1.553163268,1.347420587,1.675319465,1.95736661,1.119019362,,,,PHM3,-1.164952015,-0.788499508,-2.106711576,-1.288887224,-2.180779207,-1.87756717,-1.746286772,-1.846032403,-1.775912814,-1.164952015,-1.584749721,-1.656491636,-1.885237973,-1.887333207,-1.821465773,-1.611000074,-1.563031434,-1.600403592,-1.164952015,-1.568419596,-1.884801812,-2.037543316,-2.112198667,-2.015456214,-1.433622738,-1.451524514,-1.607380545,,,,PHM3,-0.015639964,0.114968154,-0.074358687,0.176883849,-0.033666101,0.229904174,1.428225976,1.543981777,1.468056364,,,PHM3,0.694306646,0.640286431,0.115080541,0.348168011,0.496752727,0.255704191,0.242917408,1.57806145,0.31345324,
,SDT1,1.007662779,1.502462316,1.177819762,1.444501289,1.413071163,1.655402848,1.600063899,2.65598268,2.929579796,1.007662779,1.083712687,1.242162052,1.258928193,0.935874074,1.317365486,1.550430774,1.903186146,1.500020673,1.007662779,1.620691186,0.816060037,1.321449174,1.537551381,1.511123021,1.459159121,1.283815037,1.418418482,,,,SDT1,0.613868273,0.26180103,0.107928492,0.929274818,0.675101011,1.038139529,2.064896485,2.190469726,2.163116176,0.613868273,0.931767557,0.410384331,0.829619934,0.469394232,-0.199758619,0.702214296,1.570722005,1.051594907,0.613868273,0.78104849,0.213833555,0.898079178,0.626981334,0.019493751,0.438993238,0.363551103,0.190254267,,,,SDT1,-0.219993379,0.425207185,0.516318966,-0.269434862,0.447964986,0.167420285,0.031320807,0.204008279,0.441478926,-0.219993379,0.160677452,0.381576405,0.08174697,-0.768345171,-0.267382585,0.180230788,-0.365092056,0.759592543,-0.219993379,0.016542905,-0.446195842,0.184321901,0.173796887,-0.655460078,-0.258051174,0.36790324,-0.43180898,,,,SDT1,-0.387556195,0.642841462,0.307663755,0.740271444,0.478940451,1.167976425,1.118370714,1.68499612,1.958501266,,,SDT1,0.347457176,0.619057288,0.528515936,0.53532755,0.529584119,0.406401087,0.926830192,1.128028529,-0.297571557,
,PHO81,1.211599018,1.255323233,1.154378115,1.323825692,1.169617127,1.318126789,1.393613022,1.68005044,2.247655565,1.211599018,1.207478577,0.972072889,1.088374703,1.135061997,1.078099247,1.434610017,1.616253472,2.274893284,1.211599018,1.293894052,1.086830092,1.423219852,1.327608447,1.212145006,1.220302098,1.292620934,1.887560225,,,,PHO81,0.848888303,0.920420573,1.25373532,0.794345238,1.035379279,1.170817085,1.517185379,1.702041972,2.40140392,0.848888303,0.54599298,0.889396319,0.903276975,0.842611556,0.938993451,1.119825739,1.178404583,1.476900741,0.848888303,1.189889723,0.999832404,1.104186515,0.838917751,0.697565656,1.265928529,1.052123868,1.792290281,,,,PHO81,-1.261813554,-0.439735229,-0.651032092,-1.118609959,-0.657985527,-0.800399309,-0.705644787,-0.97531542,-0.500805576,-1.261813554,-0.959145236,-1.338315676,-0.808070112,-1.225202846,-0.254754977,-1.302161979,-0.859424436,-0.356228214,-1.261813554,-0.468883923,-1.3725388,-1.198535192,-0.868023288,-1.55977673,-1.200335676,-1.188490108,-0.473629156,,,,PHO81,-0.271835094,-0.229053712,-0.219583248,0.213024441,0.06161114,0.200156831,0.510953362,1.122343781,1.331718589,,,PHO81,0.016130383,0.36865049,-0.202964119,0.309082803,-0.401204744,0.050472321,-0.071921262,0.086208353,0.245570768,
,ISC10,0.550805104,1.408174721,0.745415131,1.7847302,1.114475572,0.666050092,1.780636145,2.001978535,2.342812798,0.550805104,1.497775063,1.042462217,1.524891929,1.514995696,1.4639904,1.530090325,2.192282848,2.26555542,0.550805104,1.050622901,1.382285975,1.660719166,1.182791894,1.469302845,1.424992518,1.786315377,2.385587089,,,,ISC10,0.585853897,0.953335195,1.162969856,1.60170016,1.218243336,1.922318772,2.172537208,2.081535355,1.979276996,0.585853897,1.296764374,0.739819963,1.010192179,1.173528434,0.565776128,1.119825739,1.364271128,1.817129653,0.585853897,1.447047563,1.301296397,0.911541437,0.862001364,1.341421846,1.204527984,1.12908585,1.862679609,,,,ISC10,-0.776386727,0.367619693,0.696891212,0.389184681,0.390377494,0.772490359,-0.290607288,0.095073908,0.984621251,-0.776386727,0.378724403,1.147111152,0.847281717,0.134693099,0.257144062,0.282800522,0.869927974,1.595516618,-0.776386727,0.501969732,0.193808022,0.023857229,0.391843839,0.110074668,0.948056164,0.133437986,1.503650767,,,,ISC10,0.765001674,1.145341803,0.587771674,0.86837627,0.118944316,0.685583658,0.133883713,1.313027342,1.909591665,,,ISC10,1.560450899,0.591042912,0.898122006,1.357445825,1.351702394,1.233336378,1.171532775,1.256133355,1.275318111,
,SNA3,0.259573806,0.70751953,0.54924603,0.905822017,0.592631347,1.0110618,1.20045644,1.05900948,1.285238748,0.259573806,0.531087808,0.509729675,0.735082437,0.234199851,0.779254765,0.94673171,1.176004029,1.73609801,0.259573806,0.640747107,0.624486878,0.386002955,0.859851737,0.521532804,0.68169299,0.99054843,1.930196636,,,,SNA3,0.275513777,0.181663923,0.179794478,0.366322097,-0.021707457,0.700334526,1.66312574,1.206696836,1.407891022,0.275513777,0.480071587,0.605051407,0.5317293,0.265625776,0.348545412,0.79631023,1.44095413,1.364185137,0.275513777,0.679849767,0.468115487,0.139870165,0.125897337,-0.349740058,0.830057526,1.059753828,2.156410812,,,,SNA3,-0.439028592,-0.32123205,-0.577824999,-0.136168331,-0.298474249,-0.089259703,-0.14151579,-1.215266213,1.015318048,-0.439028592,-0.596431526,-0.677802142,-0.400322649,-0.465153639,-0.190699582,-0.57687819,-0.124910321,1.013874475,-0.439028592,-0.511388651,-0.688438446,0.069660918,-0.268438753,-0.28953279,-0.124784643,-0.733295483,0.559438546,,,,SNA3,0.045270618,-0.560926994,-0.593835132,-0.205896492,-0.328899329,0.075683256,0.364111974,0.501788986,1.187526779,,,SNA3,0.306694307,0.461275037,0.477357896,0.06913201,0.340922555,-0.053157001,0.491436034,0.701867651,1.985442093,
